N,a_mean,a_std,b_mean,b_std,c_mean,c_std,d_mean,d_std,n_calibration,n_validation
10,0.5765925271648937,0.22746366079744493,-1046.025905460773,741.0479093572491,4395.875,1161.0329923714485,3384.5,976.9087726087836,8,2
11,0.5494013290731534,0.22782833355421786,-980.1278687417923,723.1013238688505,4345.111111111111,1104.009002020912,3307.4444444444443,946.4735849000649,9,2
12,0.5494013290731534,0.22782833355421786,-980.1278687417923,723.1013238688505,4345.111111111111,1104.009002020912,3307.4444444444443,946.4735849000649,9,3
13,0.5164597870695071,0.23765832894995428,-942.4096831897725,695.2639252937155,4396.4,1058.596825991841,3453.7,999.3734086916661,10,3
14,0.502292691435309,0.23098456049362884,-907.5806989313564,671.9953770160437,4339.454545454545,1025.2706395374446,3379.909090909091,981.0214022820998,11,3
15,0.5152784149057531,0.22530563850495308,-897.5573177713222,644.2448714363425,4328.5,982.2940411777593,3361.3333333333335,941.2748742470973,12,3
16,0.5019413687783516,0.22134212112831939,-843.1881964054627,646.9902902806824,4239.923076923077,992.3854292746776,3266.923076923077,961.6674190446876,13,3
17,0.4773379497259717,0.23100248720101682,-806.9224289267019,637.0199109053,4257.285714285715,958.3334066844101,3577.247857142855,1452.8130919219022,14,3
18,0.4773379497259717,0.23100248720101682,-806.9224289267019,637.0199109053,4257.285714285715,958.3334066844101,3577.247857142855,1452.8130919219022,14,4
19,0.48418175395851676,0.22463392369826923,-802.6016907691271,615.6320102076497,4236.6,929.0676186370936,3531.4979999999982,1413.9510293462495,15,4
20,0.5010730404898178,0.22712630430349212,-808.3818139738047,596.5033496190201,4247.0625,900.4780306002751,3500.7793749999983,1374.2119296639967,16,4
