asset,role,a,b,sigma,c,d
Albergaria_20240918_HLSS30,C,0.4248397323448887,-493.97253122834036,233.75497224005235,3308.0,2721.0
Almonaster_20200829_HLSS30,C,0.5577337898337,-740.3834954377172,272.39479225131896,4602.0,3335.0000000000005
Ateca_20220719_HLSL30,C,0.6243014545124934,-1244.2823060212781,484.16905519595986,5134.0,3802.0
Balteiro_20220805_HLSS30,C,0.5248358299655382,-612.5059930251641,208.23582325392195,3327.0,2449.0
Bejis_20220818_HLSS30,C,1.098788823327506,-2921.9535109847525,692.1709559836046,7061.0,5734.0
Buron_20250817_HLSL30,C,0.2707891369711175,-945.1022456008952,453.99956588070194,3885.0000000000005,3376.0
Cardoso_20250926_HLSS30,C,0.45954167329704143,-759.3556174056637,306.01426071049445,4103.0,2773.0
Gargantilla_20250817_HLSL30,V,0.2807188992204293,-322.4249681188544,307.10359657592124,4059.0,2762.0
Lecrin_2022_20220910_HLSS30,C,0.6519097770668646,-650.6515439823728,245.36528069982882,3747.0,2886.0
Losacio_20220718_HLSS30,V,1.4083489407576482,-7264.842993611643,2122.1815553392516,6115.000000000001,6202.679999999935
Medeiros_20250816_HLSS30,C,0.33187174433923106,-452.9435749899469,228.50412674014643,3939.0,2691.0
Navalacruz_20210815_HLSL30,C,0.2199859090366908,-602.9460132215934,418.13138301870055,4858.0,4770.0
Pinofranqueado_20230519_HLSS30,C,0.3606217350933273,-559.290856347196,278.5317450000329,3770.0,2642.0
Ribeira_da_Gafa_20210817_HLSS30,C,0.6581213730806391,-787.3001250109463,251.0255236304281,4208.0,3157.0
Santa_Coloma_20230329_HLSL30,C,0.3418968152495338,-190.758740015147,141.1779996929348,3177.0,2134.0
Sao_Tetonio_20230807_HLSS30,C,0.15749350204503249,-335.46745170281133,342.3914497554773,4483.0,7611.469999999972
Sierra_Bermeja_20210909_HLSL30,V,0.5291864236239602,-702.2254463675811,296.1415591190087,4131.0,3165.0
Terrenho_20250811_HLSS30,C,0.5799950132141473,-742.1113565630828,239.98421246082066,3947.0,2891.0
Una_de_Quintana_20250811_HLSS30,C,0.7544423384593331,-895.0836620439675,221.57592948192567,4404.0,3040.0
Vall_dEbo_20220814_HLSL30,V,0.5273498538851296,-580.7373358147194,304.6240023714043,4229.0,3624.0
